SYMBOL,P
HSPB7,0.0075625
CLCNKA,0.005651
CLCNKB,0.0047524
FAM131C,0.0040648
EPHA2,0.0022755
ARHGEF19,0.0082013
C1orf134,0.0025093
RSG1,0.0025093
FBXO42,0.0021494
SZRD1,0.00018868
SPATA21,0.00075297
NECAP2,0.0016712
FAM231B,0.012319
FAM231A,0.023519
FAM231C,0.0030743
CROCC,0.00097894
MFAP2,0.0013391
ATP13A2,0.001609
SDHB,0.0045006
PADI2,0.004636
PADI1,0.0035957
PADI3,0.0010586
PADI4,0.0001859
AC004824.2,0.0001859
RCC2,0.0042956
ARHGEF10L,3.6671e-05
ACTL8,4.9921e-06
IGSF21,3.775e-06
KLHDC7A,0.0042679
PAX7,0.0043596
TAS1R2,0.00072186
RP13-279N23.2,0.0003339
ALDH4A1,0.00046006
IFFO2,0.00035375
UBR4,6.1246e-05
EMC1,0.00044868
MRTO4,0.00044868
AKR7A3,0.00045761
AKR7A2,0.0007554
PQLC2,0.00078095
CAPZB,0.0030041
MINOS1-NBL1,0.010755
MINOS1,0.021735
NBL1,0.010755
HTR6,0.0011057
TMCO4,0.00030083
RNF186,0.01615
OTUD3,1.0612e-05
PLA2G2E,1.0612e-05
PLA2G2A,0.0012049
PLA2G5,0.0019002
PLA2G2D,0.0011293
PLA2G2F,0.00054333
PLA2G2C,0.001587
UBXN10,0.0026453
VWA5B1,0.0080253
CAMK2N1,0.0079562
MUL1,0.015477
FAM43B,0.0047025
CDA,0.01147
PINK1,0.0077164
DDOST,0.001746
KIF17,0.0027046
SH2D5,0.0024391
HP1BP3,0.0023034
EIF4G3,0.002121
ECE1,0.0031431
NBPF3,0.0050859
ALPL,0.00063551
RAP1GAP,5.7189e-05
USP48,0.001534
LDLRAD2,0.011025
HSPG2,0.011025
CELA3B,0.0090017
CELA3A,0.011781
CDC42,0.012959
WNT4,0.0010696
ZBTB40,0.00027922
EPHA8,0.001359
C1QA,0.001359
C1QC,0.001359
C1QB,0.0017563
EPHB2,0.0042598
LACTBL1,0.0060325
C1orf234,0.023334
KDM1A,0.013365
LUZP1,0.0089729
HTR1D,0.014192
HNRNPR,0.01396
ZNF436,0.029818
C1orf213,0.029818
TCEA3,0.003933
ASAP3,0.0029592
E2F2,0.010171
ID3,0.009046
MDS2,0.0046879
RPL11,0.00034696
TCEB3,0.0010456
PITHD1,0.0010456
LYPLA2,0.0025846
GALE,0.0049311
HMGCL,0.0022041
FUCA1,0.0030213
CNR2,0.0005529
PNRC2,0.0020067
SRSF10,0.0020067
MYOM3,0.026989
IFNLR1,0.0014218
GRHL3,0.0002801
STPG1,0.00089946
NIPAL3,0.0084676
RCAN3,0.00042768
NCMAP,0.00039671
SRRM1,0.00010836
CLIC4,0.0054298
RUNX3,0.001745
SYF2,0.00011358
C1orf63,0.00037259
RHD,0.00097089
TMEM50A,0.0094535
RHCE,0.010352
TMEM57,0.0013414
LDLRAP1,0.00014346
MAN1C1,0.0027562
SEPN1,0.023583
RP1-317E23.6,0.023583
MTFR1L,0.026344
AL020996.1,0.026344
AUNIP,0.022446
PAQR7,0.029722
STMN1,0.024729
PAFAH2,0.00022816
EXTL1,6.9158e-05
SLC30A2,3.5535e-05
TRIM63,0.00058863
PDIK1L,0.00014082
FAM110D,0.00011237
ZNF593,4.7442e-05
CNKSR1,7.8014e-05
CATSPER4,7.3037e-06
CEP85,6.4982e-05
SH3BGRL3,1.9133e-06
UBXN11,1.0807e-06
CD52,5.2877e-06
AIM1L,2.6603e-05
ZNF683,0.00062284
LIN28A,0.02243
DHDDS,0.02243
HMGN2,0.0048605
RPS6KA1,0.0041463
ZDHHC18,0.021219
SFN,0.021219
GPN2,0.021219
GPATCH3,0.021219
NUDC,0.021463
NR0B2,0.021219
C1orf172,0.032999
TRNP1,0.032999
FAM46B,0.014502
SLC9A1,0.011718
WDTC1,0.0034305
TMEM222,0.0037755
SYTL1,0.0036244
MAP3K6,0.0040933
FCN3,0.0045001
CD164L2,0.0058137
WASF2,0.0010329
AHDC1,0.0041363
FGR,0.0041723
IFI6,0.0043899
FAM76A,0.015084
STX12,0.0065187
PPP1R8,0.00066999
AL109927.1,0.00087777
THEMIS2,0.0020297
RPA2,0.0018846
SMPDL3B,0.015071
XKR8,0.018179
EYA3,0.011401
PTAFR,0.034984
RCC1,0.04498
TRNAU1AP,0.013432
TAF12,0.013432
RAB42,0.013432
GMEB1,0.034582
YTHDF2,0.034582
OPRD1,0.0032646
EPB41,0.0032911
TMEM200B,0.011775
SRSF4,0.029811
MECR,0.038992
PTPRU,0.023625
MATN1,0.0079897
LAPTM5,0.001125
SDC3,0.00012007
PUM1,0.0094606
NKAIN1,0.0027768
SNRNP40,0.00045023
ZCCHC17,4.5386e-05
FABP3,0.0020218
SERINC2,0.00010202
AC114494.1,0.00010563
TINAGL1,0.011024
HCRTR1,0.011104
PEF1,0.036917
COL16A1,0.036917
BAI2,0.043295
SPOCD1,0.013359
PTP4A2,0.02169
AL136115.1,0.001738
KHDRBS1,0.044825
TSSK3,0.015311
FAM229A,0.015311
BSDC1,0.015311
RP1-27O5.3,0.010798
ZBTB8A,0.010798
ZBTB8OS,0.0073423
RBBP4,0.012075
SYNC,0.015798
KIAA1522,0.017236
YARS,0.016605
S100PBP,0.0013183
FNDC5,0.0013183
HPCA,0.00086509
TMEM54,0.00086509
RNF19B,0.00036096
FKSG48,0.00070025
AK2,0.0017937
ADC,0.0011396
TRIM62,0.0084167
ZNF362,0.014381
A3GALT2,0.036769
PHC2,0.0053327
ZSCAN20,0.0047794
CSMD2,0.00048988
HMGB4,0.0071744
C1orf94,0.010862
SMIM12,3.5062e-05
GJB5,4.6686e-05
GJB4,4.6686e-05
GJB3,0.00016382
GJA4,1.9247e-05
DLGAP3,0.00025017
RP11-244H3.4,0.020974
ZMYM6,0.020974
ZMYM1,0.020974
SFPQ,0.0098805
ZMYM4,0.00074483
KIAA0319L,0.0015091
NCDN,0.0075327
TFAP2E,0.0065475
PSMB2,0.0041909
C1orf216,0.0038853
CLSPN,0.0076099
AGO4,0.010079
AGO1,0.017953
AGO3,0.039146
TEKT2,0.030804
ADPRHL2,0.030804
COL8A2,0.0013577
TRAPPC3,0.0041318
MAP7D1,0.0057269
THRAP3,0.0020514
SH3D21,0.010487
EVA1B,0.010487
RP11-268J15.5,0.010487
STK40,0.001203
LSM10,0.0017519
OSCP1,0.0045688
MRPS15,0.0037686
CSF3R,0.0018003
GRIK3,0.0012786
ZC3H12A,0.0080896
MEAF6,0.014578
SNIP1,0.023831
DNALI1,0.020019
GNL2,0.018634
RSPO1,0.0076679
C1orf109,0.0013851
CDCA8,0.0013851
EPHA10,0.0027851
MANEAL,0.012143
YRDC,0.012143
C1orf122,0.012143
MTF1,0.011441
AL929472.1,0.013605
INPP5B,0.0028228
SF3A3,0.0023314
FHL3,4.42e-05
UTP11L,2.4808e-05
POU3F1,0.0011572
RRAGC,0.00049487
MYCBP,0.00085749
GJA9,0.00085749
RHBDL2,0.0014622
AKIRIN1,0.0095443
NDUFS5,0.0080969
MACF1,0.00027633
KIAA0754,0.00047174
BMP8A,0.0012667
PABPC4,0.0038652
HEYL,0.0029575
NT5C1A,0.0064353
HPCAL4,0.0022346
PPIE,0.0016411
BMP8B,0.00092114
OXCT2,0.003452
TRIT1,0.0023683
MYCL,0.0024895
MFSD2A,0.0005047
CAP1,0.00092937
RLF,0.02037
TMCO2,0.038715
ZMPSTE24,0.021982
COL9A2,0.020703
SMAP2,0.01221
ZFP69B,0.012285
ZFP69,0.010176
EXO5,0.016446
ZNF684,0.0012959
RIMS3,0.0069663
NFYC,0.020804
KCNQ4,0.011456
CITED4,0.0010653
CTPS1,0.00017304
SLFNL1,0.00010054
SCMH1,4.4988e-05
FOXO6,0.00017431
EDN2,0.027891
HIVEP3,0.0017399
GUCA2B,0.0013178
GUCA2A,0.0013178
FOXJ3,0.0049395
RIMKLA,0.022829
ZMYND12,0.049593
CCDC30,0.02254
YBX1,0.0047228
CLDN19,0.0047228
LEPRE1,0.0083062
C1orf50,0.0083062
CCDC23,0.050856
ERMAP,0.0071748
ZNF691,0.008803
SLC2A1,0.00059897
FAM183A,0.0014247
EBNA1BP2,0.00025358
WDR65,0.00025358
TMEM125,0.03437
C1orf210,0.03437
TIE1,0.03437
PTPRF,0.005735
KDM4A,0.0046669
ST3GAL3,0.0023926
ARTN,0.0080853
IPO13,0.0082561
DPH2,0.010808
ATP6V0B,0.0098162
B4GALT2,0.0034632
CCDC24,0.0011129
SLC6A9,0.0011129
KLF17,0.011842
DMAP1,0.011805
ERI3,0.013956
RNF220,1.3802e-05
TMEM53,0.0023204
RPS8,0.03428
BEST4,0.03428
PLK3,0.03428
TCTEX1D4,0.03428
BTBD19,0.03428
PTCH2,0.03428
EIF2B3,0.019656
HECTD3,0.048385
UROD,0.048385
ZSWIM5,0.048385
TESK2,0.0010246
CCDC163P,0.0010246
MMACHC,0.0010246
PRDX1,0.0010246
AKR1A1,0.00081877
NASP,0.0013437
CCDC17,0.0020052
GPBP1L1,0.0020052
IPP,0.039473
MAST2,0.00011834
PIK3R3,0.0073947
TSPAN1,0.016113
POMGNT1,0.020896
LURAP1,0.020896
RAD54L,0.023602
LRRC41,0.023673
UQCRH,0.030225
NSUN4,0.02565
FAAH,0.0014901
DMBX1,0.011959
MKNK1,0.01193
MOB3C,0.01193
ATPAF1,0.01193
EFCAB14,0.01193
TEX38,0.01193
CYP4B1,0.0015435
CYP4A11,0.0012055
CYP4X1,9.2804e-05
CYP4Z1,0.0022488
CYP4A22,0.00039139
PDZK1IP1,0.0001512
TAL1,0.00058668
STIL,0.00087728
CMPK1,0.0015927
FOXE3,0.00096557
FOXD2,0.00096557
TRABD2B,0.0024246
FLJ00388,0.0010755
AL109659.1,0.0011254
SLC5A9,0.0063907
SPATA6,0.0011047
AGBL4,7.5322e-05
BEND5,0.0015623
AL645730.2,0.031845
ELAVL4,0.00067985
DMRTA2,0.020294
FAF1,0.013201
CDKN2C,0.015947
C1orf185,0.0045738
RNF11,0.0049476
TTC39A,0.0041958
EPS15,0.0056759
OSBPL9,0.00075657
NRD1,0.0044612
RAB3B,0.0023595
TXNDC12,0.00067178
KTI12,0.0011223
BTF3L4,0.0013105
ZFYVE9,0.0010465
CC2D1B,0.021386
ORC1,0.014558
PRPF38A,0.016642
ZCCHC11,0.018969
GPX7,0.0084256
FAM159A,0.0062367
COA7,0.022633
ZYG11B,0.0057661
ECHDC2,0.020743
SCP2,0.020743
PODN,0.0022746
SLC1A7,0.0087994
CPT2,0.015339
C1orf123,0.018452
LRP8,0.02202
DMRTB1,0.0010234
GLIS1,0.005513
NDC1,0.034458
YIPF1,0.020228
DIO1,0.021345
HSPB11,0.019413
LRRC42,0.018214
LDLRAD1,0.0020118
TMEM59,0.0014936
TCEANC2,0.0055578
AL161915.1,0.0055578
CDCP2,0.0038704
RP11-446E24.4,0.0016772
AL357673.1,0.00272
CYB5RL,0.00272
MRPL37,0.00095141
SSBP3,0.00066833
SSBP3-AS1,5.6523e-05
ACOT11,2.5683e-05
FAM151A,0.00056281
MROH7-TTC4,3.9503e-06
MROH7,7.1862e-06
TTC4,6.9246e-05
PARS2,0.00064324
TTC22,0.0010416
C1orf177,0.00076253
DHCR24,0.043562
TMEM61,0.0058206
BSND,0.0074442
PCSK9,0.010683
USP24,0.015385
PPAP2B,0.0098925
PRKAA2,0.0082524
C1orf168,0.00014304
C8A,0.00066171
C8B,0.00037214
DAB1,3.5306e-07
OMA1,0.00087414
TACSTD2,0.0026708
MYSM1,0.00055171
JUN,0.00028647
FGGY,0.0031879
NFIA,0.00052787
TM2D1,0.032549
INADL,0.00095802
L1TD1,0.0048831
KANK4,0.00060054
USP1,0.00088364
DOCK7,0.00077379
ANGPTL3,0.013838
AL138847.1,0.013838
ATG4C,0.0040831
FOXD3,0.0010244
ALG6,0.00060112
ITGB3BP,0.0021041
EFCAB7,0.0056699
DLEU2L,0.0056699
PGM1,0.00067412
ROR1,0.00074827
UBE2U,0.010923
CACHD1,0.00026348
RAVER2,0.0032706
JAK1,0.00035307
AK4,0.0013558
DNAJC6,7.4073e-05
LEPR,7.8894e-05
LEPROT,0.00023047
PDE4B,0.0052376
SGIP1,0.0018213
TCTEX1D1,0.0094104
INSL5,0.0023689
WDR78,0.0052029
MIER1,0.017453
SLC35D1,0.022205
C1orf141,0.0027088
IL23R,0.002564
IL12RB2,0.0037757
SERBP1,0.0096825
GADD45A,0.0018213
GNG12,0.0012023
DIRAS3,0.002265
WLS,0.00032714
RPE65,0.0050813
DEPDC1,0.0015809
LRRC7,0.0062439
LRRC40,0.015491
SRSF11,0.01417
ANKRD13C,0.028536
HHLA3,0.030257
CTH,0.0045558
PTGER3,9.1705e-05
ZRANB2,0.012304
NEGR1,3.8872e-05
LRRIQ3,0.00020082
FPGT,0.019516
FPGT-TNNI3K,0.00078355
TNNI3K,0.00078355
LRRC53,0.044068
C1orf173,0.0040422
CRYZ,0.0029835
TYW3,0.0027972
LHX8,0.0050577
SLC44A5,3.54e-05
ACADM,0.016859
RABGGTB,0.017548
MSH4,0.014968
ASB17,0.01177
ST6GALNAC3,0.00037724
ST6GALNAC5,0.0079214
PIGK,0.0046292
AK5,0.0019028
ZZZ3,0.0013453
USP33,0.0059332
FAM73A,0.0037488
NEXN,0.032504
FUBP1,0.032504
GIPC2,0.013967
PTGFR,0.0073265
IFI44L,0.0010192
IFI44,0.00020744
ELTD1,1.0298e-05
LPHN2,4.0331e-09
TTLL7,0.027761
PRKACB,0.0018993
SAMD13,0.0015214
DNASE2B,0.0027153
RPF1,0.00097929
GNG5,0.001048
CTBS,0.0002554
C1orf180,0.002574
SSX2IP,0.0047047
LPAR3,6.0659e-06
MCOLN2,0.00010023
WDR63,0.00016329
MCOLN3,0.011878
SYDE2,0.00096315
C1orf52,0.033875
BCL10,0.033875
DDAH1,0.00015968
CYR61,0.0025209
ZNHIT6,0.0020659
COL24A1,0.0014663
ODF2L,0.021027
CLCA2,0.0048598
CLCA1,0.0070714
CLCA4,0.0016521
SH3GLB1,2.4468e-05
SEP15,0.0036914
HS2ST1,0.0035078
RP5-1052I5.2,0.0034464
LMO4,0.012878
PKN2,0.0028697
GTF2B,0.0094537
CCBL2,0.013433
RBMXL1,0.01435
GBP3,0.007854
GBP1,2.4924e-08
GBP2,1.9814e-05
GBP7,7.3654e-06
GBP4,1.4564e-05
GBP5,0.00077491
GBP6,0.0073108
LRRC8B,0.00017225
LRRC8C,0.021724
RP11-302M6.4,0.00040608
LRRC8D,0.00028915
ZNF326,0.0028823
BARHL2,0.0049867
HFM1,0.0029101
CDC7,0.012065
TGFBR3,0.00085641
BRDT,0.00071208
EPHX4,0.004352
BTBD8,0.0062014
KIAA1107,0.0080929
C1orf146,0.02661
GLMN,0.02661
RPAP2,0.027849
GFI1,0.045644
EVI5,0.0034906
RPL5,0.0042334
FAM69A,0.0033839
MTF2,0.0077665
TMED5,0.026431
CCDC18,0.01224
DR1,9.4547e-05
FNBP1L,0.00041942
BCAR3,0.012158
DNTTIP2,0.017821
GCLM,0.018717
ABCA4,0.0055368
ARHGAP29,0.018707
ABCD3,0.0015813
F3,0.017156
SLC44A3,0.014562
CNN3,0.016584
ALG14,0.0129
TMEM56,0.013383
TMEM56-RWDD3,0.0095835
RWDD3,0.0074201
RP11-147C23.1,0.010874
DPYD,2.9801e-05
SNX7,0.00028491
LPPR5,0.007109
LPPR4,0.001231
PALMD,0.01451
FRRS1,0.034012
SLC35A3,0.0068746
HIAT1,0.021764
SASS6,0.021764
LRRC39,0.045972
DBT,0.045972
RTCA,0.026021
CDC14A,0.040155
GPR88,0.043704
VCAM1,0.015536
EXTL2,0.0060664
SLC30A7,0.0091558
DPH5,0.035181
AC093157.1,0.035181
S1PR1,0.0064921
OLFM3,7.2528e-06
COL11A1,0.029957
RNPC3,0.0069955
AMY2B,0.0060527
AMY2A,0.0061873
AMY1C,0.0066586
PRMT6,0.0014831
NTNG1,0.00017558
VAV3,6.1492e-05
SLC25A24,0.00010086
NBPF4,0.0085474
NBPF6,0.015755
FAM102B,0.00017278
HENMT1,0.0052739
PRPF38B,0.00012647
FNDC7,0.00017623
STXBP3,1.6977e-06
AKNAD1,1.2038e-05
GPSM2,9.917e-05
CLCC1,0.0079327
WDR47,0.0066709
TAF13,0.00041793
TMEM167B,0.0011273
C1orf194,0.0024948
KIAA1324,0.0005808
SARS,0.013658
CELSR2,0.012
PSRC1,0.012
MYBPHL,0.012
SORT1,0.018156
PSMA5,0.021751
GPR61,0.040257
GNAI3,0.037624
GNAT2,0.037624
AMPD2,0.015361
GSTM4,0.015361
GSTM2,0.011039
GSTM1,0.011039
GSTM5,0.0029537
GSTM3,0.015174
EPS8L3,0.004542
CSF1,2.4392e-05
AHCYL1,0.0063002
STRIP1,0.035945
ALX3,0.035945
UBL4B,0.0090148
SLC6A17,0.00094747
KCNC4,6.7595e-05
RBM15,0.00048262
SLC16A4,0.0053794
LAMTOR5,0.0016001
PROK1,0.00072875
KCNA10,0.00028376
KCNA2,0.011908
KCNA3,0.017478
CD53,0.00099417
LRIF1,0.0016727
DRAM2,0.0076749
CEPT1,0.0024835
DENND2D,0.00051561
CHI3L2,0.0001777
CHIA,0.0013613
PIFO,0.0012686
OVGP1,0.0017192
WDR77,0.0034064
ATP5F1,0.00082907
C1orf162,0.00064977
ADORA3,6.4323e-06
RAP1A,0.00017284
FAM212B,0.00031332
DDX20,0.00070548
KCND3,0.00093678
CTTNBP2NL,0.00060556
WNT2B,0.00038502
ST7L,0.00031892
CAPZA1,7.6983e-05
MOV10,0.0009312
RHOC,0.0012292
RP11-426L16.10,0.0012292
PPM1J,0.0012292
FAM19A3,0.0011917
SLC16A1,0.025934
LRIG2,0.0053562
MAGI3,0.00050026
PHTF1,0.00063998
RSBN1,0.0005886
PTPN22,0.00080233
BCL2L15,0.0081212
AP4B1,0.015238
DCLRE1B,0.023827
HIPK1,0.0012901
OLFML3,0.001448
SYT6,0.0013444
TRIM33,0.0031345
BCAS2,0.0021359
DENND2C,0.0043378
AMPD1,0.0050827
NRAS,0.0047671
CSDE1,0.0055613
SIKE1,0.022906
SYCP1,0.007024
TSHB,0.01011
TSPAN2,0.005116
NGF,0.00019617
VANGL1,0.0024758
CASQ2,0.00053786
NHLH2,3.7719e-05
SLC22A15,0.0030557
MAB21L3,0.00072653
ATP1A1,1.6139e-05
AL136376.1,0.00010961
CD58,0.00074239
IGSF3,5.3557e-05
C1orf137,5.3295e-05
CD2,0.00010144
PTGFRN,2.7001e-06
CD101,0.01031
TTF2,0.006514
TRIM45,0.0034091
VTCN1,0.00044868
MAN1A2,0.0003089
FAM46C,0.0037648
GDAP2,0.045725
WDR3,0.023542
SPAG17,0.0047712
TBX15,0.00058257
WARS2,0.0014484
HAO2,0.0058547
HSD3B2,0.045918
HSD3B1,0.0044844
ZNF697,0.0021996
PHGDH,0.0070246
HMGCS2,0.012969
REG4,0.013754
ADAM30,0.006453
NOTCH2,0.016449
FAM72D,0.023249
ANKRD35,0.030398
PIAS3,0.030398
NUDT17,0.030398
POLR3C,0.030398
RNF115,0.030398
NBPF12,0.030245
PRKAB2,0.010368
FMO5,0.010445
CHD1L,0.0097915
BCL9,0.00024236
ACP6,0.0015613
GJA5,0.0042277
GJA8,0.0029815
GPR89B,0.0022472
PPIAL4D,0.033333
NBPF15,0.034256
HIST2H3PS2,0.022911
FAM72C,0.022911
FCGR1A,0.0099977
HIST2H2BF,0.0032968
HIST2H3D,0.0032968
HIST2H4A,0.00029456
HIST2H3C,0.00029456
HIST2H2AA3,0.00029456
HIST2H2AA4,0.00029456
HIST2H3A,0.00063882
HIST2H4B,0.00015198
HIST2H2BE,0.000294
HIST2H2AC,0.000294
HIST2H2AB,0.000294
BOLA1,0.000294
SV2A,0.00062494
SF3B4,0.00062494
MTMR11,0.0022271
OTUD7B,0.0011411
VPS45,0.0054822
PLEKHO1,0.034875
ANP32E,0.0071361
CA14,0.0071361
APH1A,0.0071361
C1orf54,0.0071361
C1orf51,0.0071361
MRPS21,0.0013838
PRPF3,0.00085986
RPRD2,0.0010905
TARS2,0.00070915
ECM1,0.00031101
ADAMTSL4,1.8192e-05
AL356356.1,1.6705e-05
ADAMTSL4-AS1,1.8192e-05
MCL1,1.1864e-05
ENSA,0.0046005
GOLPH3L,0.013272
HORMAD1,0.018426
CTSS,0.016064
CTSK,0.01862
ARNT,0.017386
SETDB1,0.015321
CERS2,0.011619
ANXA9,0.0057964
FAM63A,0.0060297
PRUNE,0.0032453
BNIPL,0.00032612
C1orf56,0.00055121
CDC42SE1,0.00048841
MLLT11,0.00048841
GABPB2,0.00044285
SEMA6C,0.0011155
TNFAIP8L2,0.0024913
SCNM1,0.0013024
LYSMD1,0.0013024
TMOD4,0.00089334
VPS72,0.00033301
PIP5K1A,0.0011519
PSMD4,0.0012739
RP11-126K1.2,0.0017454
ZNF687,0.0017454
PI4KB,0.0019895
RFX5,0.0019895
SELENBP1,0.0019895
PSMB4,0.005773
POGZ,0.0018782
CGN,6.0779e-05
TUFT1,3.1924e-05
SNX27,0.00095481
CELF3,0.0068377
AL589765.1,0.0057328
RIIAD1,0.0057328
MRPL9,0.0022025
OAZ3,0.0020851
TDRKH,0.001966
LINGO4,0.0020068
RORC,0.0018393
C2CD4D,0.000541
THEM5,0.0006008
THEM4,0.022843
S100A10,0.039817
S100A11,0.039799
TCHH,0.042954
RPTN,0.042954
CRNN,0.026564
LCE5A,0.019569
CRCT1,0.019569
LCE3E,0.019569
LCE3D,0.019569
KPRP,0.022578
LCE1F,0.022578
LCE1E,0.022578
LCE1D,0.022578
LCE1C,0.022578
LCE1B,0.022578
LCE1A,0.022578
SPRR4,0.004603
SPRR1A,0.004603
SPRR3,0.0041843
SPRR1B,0.0085588
SPRR2D,0.017637
SPRR2A,0.0051125
SPRR2B,0.00051963
SPRR2E,0.00051963
SPRR2F,0.0008813
SPRR2G,0.012696
LELP1,0.0030381
PRR9,0.0030381
LOR,0.0005658
PGLYRP3,6.6975e-05
PGLYRP4,4.8571e-05
S100A9,0.00077782
S100A12,0.00064789
S100A8,0.001828
S100A7A,0.0060926
S100A7L2,0.0051405
S100A7,0.0043581
S100A6,0.00031689
S100A5,0.00031689
S100A4,0.00016639
S100A3,0.00016639
S100A2,8.0045e-05
S100A16,0.00061398
S100A14,0.00061398
S100A13,0.0039514
S100A1,0.0039514
CHTOP,0.017427
SNAPIN,0.011387
ILF2,0.00091764
NPR1,0.0036194
INTS3,0.0014189
SLC27A3,0.00045054
GATAD2B,0.00027941
DENND4B,0.0088566
CRTC2,0.021662
SLC39A1,0.01943
CREB3L4,0.01943
JTB,0.01943
RAB13,0.01943
RPS27,0.01943
NUP210L,0.013428
TPM3,0.022358
C1orf189,0.0087284
C1orf43,0.01078
